Starting 192 threads running profile:netperf ...   0.01 seconds

                                                                               
Txn1            0 /   0.00(s) =            0       14539op/s 
                                                                               
Txn1            0 /   1.00(s) =            0         191op/s 

                                                                               
Txn2      67.50KB /   0.00(s) =   136.66Mb/s      189804op/s 
                                                                               
Txn2      503.78M /   1.00(s) =     4.21Gb/s     5845400op/s 
                                                                               
Txn2      962.52M /   2.01(s) =     4.03Gb/s     5592683op/s 
                                                                               
Txn2       1.35GB /   3.01(s) =     3.84Gb/s     5337905op/s 
                                                                               
Txn2       1.72GB /   4.01(s) =     3.69Gb/s     5120527op/s 
                                                                               
Txn2       2.09GB /   5.01(s) =     3.59Gb/s     4987632op/s 
                                                                               
Txn2       2.49GB /   6.01(s) =     3.55Gb/s     4936787op/s 
                                                                               
Txn2       2.88GB /   7.01(s) =     3.53Gb/s     4898009op/s 
                                                                               
Txn2       3.23GB /   8.01(s) =     3.46Gb/s     4805456op/s 
                                                                               
Txn2       3.61GB /   9.01(s) =     3.44Gb/s     4777893op/s 
                                                                               
Txn2       4.03GB /  10.01(s) =     3.46Gb/s     4805927op/s 
                                                                               
Txn2       4.58GB /  11.01(s) =     3.57Gb/s     4963189op/s 
                                                                               
Txn2       5.17GB /  12.02(s) =     3.70Gb/s     5134469op/s 
                                                                               
Txn2       5.75GB /  13.02(s) =     3.79Gb/s     5270048op/s 
                                                                               
Txn2       6.32GB /  14.02(s) =     3.88Gb/s     5383136op/s 
                                                                               
Txn2       6.90GB /  15.02(s) =     3.95Gb/s     5482234op/s 
                                                                               
Txn2       7.48GB /  16.02(s) =     4.01Gb/s     5568827op/s 
                                                                               
Txn2       8.05GB /  17.02(s) =     4.07Gb/s     5646091op/s 
                                                                               
Txn2       8.64GB /  18.02(s) =     4.12Gb/s     5718796op/s 
                                                                               
Txn2       9.22GB /  19.02(s) =     4.16Gb/s     5782177op/s 
                                                                               
Txn2       9.77GB /  20.02(s) =     4.19Gb/s     5822219op/s 
                                                                               
Txn2      10.36GB /  21.02(s) =     4.23Gb/s     5878945op/s 
                                                                               
Txn2      10.93GB /  22.03(s) =     4.26Gb/s     5923158op/s 
                                                                               
Txn2      11.50GB /  23.03(s) =     4.29Gb/s     5959547op/s 
                                                                               
Txn2      12.07GB /  24.03(s) =     4.31Gb/s     5991474op/s 
                                                                               
Txn2      12.63GB /  25.03(s) =     4.34Gb/s     6022707op/s 
                                                                               
Txn2      13.22GB /  26.03(s) =     4.36Gb/s     6058611op/s 
                                                                               
Txn2      13.78GB /  27.03(s) =     4.38Gb/s     6083029op/s 
                                                                               
Txn2      14.36GB /  28.03(s) =     4.40Gb/s     6112284op/s 
                                                                               
Txn2      14.94GB /  29.03(s) =     4.42Gb/s     6141185op/s 
                                                                               
Txn2      15.52GB /  30.03(s) =     4.44Gb/s     6164902op/s 
                                                                               
Txn2      16.10GB /  31.03(s) =     4.45Gb/s     6187497op/s 
                                                                               
Txn2      16.68GB /  32.04(s) =     4.47Gb/s     6211713op/s 
                                                                               
Txn2      17.26GB /  33.04(s) =     4.49Gb/s     6232619op/s 
                                                                               
Txn2      17.84GB /  34.04(s) =     4.50Gb/s     6251688op/s 
                                                                               
Txn2      18.42GB /  35.04(s) =     4.52Gb/s     6272993op/s 
                                                                               
Txn2      19.02GB /  36.04(s) =     4.53Gb/s     6294753op/s 
                                                                               
Txn2      19.60GB /  37.04(s) =     4.55Gb/s     6312652op/s 
                                                                               
Txn2      20.15GB /  38.04(s) =     4.55Gb/s     6320121op/s 
                                                                               
Txn2      20.74GB /  39.04(s) =     4.56Gb/s     6337959op/s 
                                                                               
Txn2      21.31GB /  40.04(s) =     4.57Gb/s     6350060op/s 
                                                                               
Txn2      21.89GB /  41.04(s) =     4.58Gb/s     6361733op/s 
                                                                               
Txn2      22.46GB /  42.05(s) =     4.59Gb/s     6373976op/s 
                                                                               
Txn2      23.03GB /  43.05(s) =     4.59Gb/s     6381778op/s 
                                                                               
Txn2      23.59GB /  44.05(s) =     4.60Gb/s     6388509op/s 
                                                                               
Txn2      24.17GB /  45.05(s) =     4.61Gb/s     6400460op/s 
                                                                               
Txn2      24.74GB /  46.05(s) =     4.62Gb/s     6410794op/s 
                                                                               
Txn2      25.33GB /  47.05(s) =     4.62Gb/s     6421877op/s 
                                                                               
Txn2      25.90GB /  48.05(s) =     4.63Gb/s     6429402op/s 
                                                                               
Txn2      26.48GB /  49.05(s) =     4.64Gb/s     6439294op/s 
                                                                               
Txn2      27.08GB /  50.05(s) =     4.65Gb/s     6453490op/s 
                                                                               
Txn2      27.76GB /  51.05(s) =     4.67Gb/s     6486878op/s 
                                                                               
Txn2      28.45GB /  52.06(s) =     4.69Gb/s     6520081op/s 
                                                                               
Txn2      29.10GB /  53.06(s) =     4.71Gb/s     6544577op/s 
                                                                               
Txn2      29.68GB /  54.06(s) =     4.72Gb/s     6549765op/s 
                                                                               
Txn2      30.26GB /  55.06(s) =     4.72Gb/s     6556130op/s 
                                                                               
Txn2      30.84GB /  56.06(s) =     4.73Gb/s     6563987op/s 
                                                                               
Txn2      31.42GB /  57.06(s) =     4.73Gb/s     6570295op/s 
                                                                               
Txn2      31.99GB /  58.06(s) =     4.73Gb/s     6574148op/s 
                                                                               
Txn2      32.57GB /  59.06(s) =     4.74Gb/s     6578281op/s 
                                                                               
Txn2      33.16GB /  60.06(s) =     4.74Gb/s     6587150op/s 
                                                                               
Txn2      33.76GB /  61.06(s) =     4.75Gb/s     6595401op/s 
                                                                               
Txn2      34.33GB /  62.07(s) =     4.75Gb/s     6598400op/s 
                                                                               
Txn2      34.91GB /  63.07(s) =     4.76Gb/s     6604410op/s 
                                                                               
Txn2      35.50GB /  64.07(s) =     4.76Gb/s     6610913op/s 
                                                                               
Txn2      36.08GB /  65.07(s) =     4.76Gb/s     6616113op/s 
                                                                               
Txn2      36.66GB /  66.07(s) =     4.77Gb/s     6619607op/s 
                                                                               
Txn2      37.23GB /  67.07(s) =     4.77Gb/s     6621628op/s 
                                                                               
Txn2      37.80GB /  68.07(s) =     4.77Gb/s     6625793op/s 
                                                                               
Txn2      38.38GB /  69.07(s) =     4.77Gb/s     6629197op/s 
                                                                               
Txn2      38.95GB /  70.07(s) =     4.77Gb/s     6631701op/s 
                                                                               
Txn2      39.51GB /  71.07(s) =     4.78Gb/s     6632604op/s 
                                                                               
Txn2      40.09GB /  72.08(s) =     4.78Gb/s     6636242op/s 
                                                                               
Txn2      40.69GB /  73.08(s) =     4.78Gb/s     6642952op/s 
                                                                               
Txn2      41.27GB /  74.08(s) =     4.79Gb/s     6646728op/s 
                                                                               
Txn2      41.83GB /  75.08(s) =     4.79Gb/s     6646769op/s 
                                                                               
Txn2      42.41GB /  76.08(s) =     4.79Gb/s     6650306op/s 
                                                                               
Txn2      43.00GB /  77.08(s) =     4.79Gb/s     6654970op/s 
                                                                               
Txn2      43.58GB /  78.08(s) =     4.79Gb/s     6658405op/s 
                                                                               
Txn2      44.16GB /  79.08(s) =     4.80Gb/s     6662266op/s 
                                                                               
Txn2      44.74GB /  80.08(s) =     4.80Gb/s     6664847op/s 
                                                                               
Txn2      45.32GB /  81.08(s) =     4.80Gb/s     6667885op/s 
                                                                               
Txn2      45.89GB /  82.09(s) =     4.80Gb/s     6670092op/s 
                                                                               
Txn2      46.47GB /  83.09(s) =     4.80Gb/s     6672815op/s 
                                                                               
Txn2      47.04GB /  84.09(s) =     4.81Gb/s     6674231op/s 
                                                                               
Txn2      47.62GB /  85.09(s) =     4.81Gb/s     6677168op/s 
                                                                               
Txn2      48.20GB /  86.09(s) =     4.81Gb/s     6679900op/s 
                                                                               
Txn2      48.77GB /  87.09(s) =     4.81Gb/s     6680993op/s 
                                                                               
Txn2      49.33GB /  88.09(s) =     4.81Gb/s     6681283op/s 
                                                                               
Txn2      49.88GB /  89.09(s) =     4.81Gb/s     6679323op/s 
                                                                               
Txn2      50.45GB /  90.09(s) =     4.81Gb/s     6681025op/s 
                                                                               
Txn2      51.02GB /  91.09(s) =     4.81Gb/s     6681784op/s 
                                                                               
Txn2      51.59GB /  92.10(s) =     4.81Gb/s     6683784op/s 
                                                                               
Txn2      52.17GB /  93.10(s) =     4.81Gb/s     6685574op/s 
                                                                               
Txn2      52.75GB /  94.10(s) =     4.82Gb/s     6688610op/s 
                                                                               
Txn2      53.34GB /  95.10(s) =     4.82Gb/s     6691108op/s 
                                                                               
Txn2      53.91GB /  96.10(s) =     4.82Gb/s     6693336op/s 
                                                                               
Txn2      54.49GB /  97.10(s) =     4.82Gb/s     6695628op/s 
                                                                               
Txn2      55.07GB /  98.10(s) =     4.82Gb/s     6697858op/s 
                                                                               
Txn2      55.66GB /  99.10(s) =     4.82Gb/s     6700163op/s 
                                                                               
Txn2      56.23GB / 100.30(s) =     4.82Gb/s     6687889op/s 

                                                                               
Txn3            0 /   0.00(s) =            0      145738op/s 
-------------------------------------------------------------------------------
Total     56.23GB / 102.31(s) =     4.72Gb/s     6556718op/s 

Group Details
-------------------------------------------------------------------------------
Group0    112.46G /1597157569.63(s) =    604.81b/s           1op/s 


Strand Details
-------------------------------------------------------------------------------
Thr0      269.03M / 102.32(s) =    22.05Mb/s       30632op/s 
Thr1      305.59M / 102.32(s) =    25.05Mb/s       34795op/s 
Thr2      315.72M /16849586606.40(s) =      0.16b/s           0op/s 
Thr3      291.89M / 102.32(s) =    23.93Mb/s       33235op/s 
Thr4      295.10M /16849586606.40(s) =      0.15b/s           0op/s 
Thr5      294.08M / 102.32(s) =    24.11Mb/s       33484op/s 
Thr6      280.21M / 102.33(s) =    22.97Mb/s       31904op/s 
Thr7      274.79M / 102.32(s) =    22.53Mb/s       31289op/s 
Thr8      278.61M / 102.32(s) =    22.84Mb/s       31723op/s 
Thr9      290.65M / 102.32(s) =    23.83Mb/s       33094op/s 
Thr10     281.04M / 102.33(s) =    23.04Mb/s       31999op/s 
Thr11     291.98M / 102.32(s) =    23.94Mb/s       33246op/s 
Thr12     274.25M / 102.32(s) =    22.48Mb/s       31227op/s 
Thr13     306.59M / 102.32(s) =    25.13Mb/s       34909op/s 
Thr14     309.36M / 102.32(s) =    25.36Mb/s       35225op/s 
Thr15     289.47M / 102.32(s) =    23.73Mb/s       32960op/s 
Thr16     270.14M / 102.32(s) =    22.15Mb/s       30758op/s 
Thr17     328.81M / 102.32(s) =    26.96Mb/s       37440op/s 
Thr18     325.21M / 102.32(s) =    26.66Mb/s       37030op/s 
Thr19     266.36M / 102.32(s) =    21.84Mb/s       30329op/s 
Thr20     276.37M /16849586606.40(s) =      0.14b/s           0op/s 
Thr21     288.20M / 102.32(s) =    23.63Mb/s       32816op/s 
Thr22     267.23M / 102.32(s) =    21.91Mb/s       30427op/s 
Thr23     274.24M / 102.32(s) =    22.48Mb/s       31226op/s 
Thr24     267.01M / 102.32(s) =    21.89Mb/s       30403op/s 
Thr25     330.14M / 102.32(s) =    27.07Mb/s       37591op/s 
Thr26     325.17M / 102.32(s) =    26.66Mb/s       37025op/s 
Thr27     319.66M / 102.32(s) =    26.21Mb/s       36398op/s 
Thr28     238.98M / 102.32(s) =    19.59Mb/s       27211op/s 
Thr29     299.66M / 102.32(s) =    24.57Mb/s       34121op/s 
Thr30     315.06M / 102.32(s) =    25.83Mb/s       35874op/s 
Thr31     325.21M / 102.32(s) =    26.66Mb/s       37030op/s 
Thr32     302.97M / 102.32(s) =    24.84Mb/s       34498op/s 
Thr33     298.54M / 102.32(s) =    24.47Mb/s       33993op/s 
Thr34     296.34M / 102.32(s) =    24.29Mb/s       33743op/s 
Thr35     303.06M / 102.32(s) =    24.85Mb/s       34508op/s 
Thr36     314.51M / 102.32(s) =    25.78Mb/s       35812op/s 
Thr37     291.27M / 102.32(s) =    23.88Mb/s       33166op/s 
Thr38     275.75M / 102.32(s) =    22.61Mb/s       31399op/s 
Thr39     298.32M / 102.32(s) =    24.46Mb/s       33968op/s 
Thr40     351.82M / 102.32(s) =    28.84Mb/s       40060op/s 
Thr41     339.48M / 102.32(s) =    27.83Mb/s       38655op/s 
Thr42     285.25M / 102.32(s) =    23.39Mb/s       32480op/s 
Thr43     276.24M /16849586606.40(s) =      0.14b/s           0op/s 
Thr44     283.25M /16849586606.40(s) =      0.14b/s           0op/s 
Thr45     287.19M / 102.32(s) =    23.54Mb/s       32701op/s 
Thr46     329.32M / 102.32(s) =    27.00Mb/s       37499op/s 
Thr47     305.74M / 102.32(s) =    25.07Mb/s       34813op/s 
Thr48     306.49M / 102.32(s) =    25.13Mb/s       34899op/s 
Thr49     351.64M / 102.32(s) =    28.83Mb/s       40039op/s 
Thr50     298.30M / 102.32(s) =    24.46Mb/s       33966op/s 
Thr51     308.79M / 102.32(s) =    25.32Mb/s       35161op/s 
Thr52     319.50M / 102.32(s) =    26.19Mb/s       36380op/s 
Thr53     293.27M / 102.32(s) =    24.04Mb/s       33393op/s 
Thr54     323.49M / 102.32(s) =    26.52Mb/s       36835op/s 
Thr55     288.36M / 102.32(s) =    23.64Mb/s       32835op/s 
Thr56     329.29M / 102.32(s) =    27.00Mb/s       37495op/s 
Thr57     312.24M /16849586606.40(s) =      0.16b/s           0op/s 
Thr58     279.03M / 102.32(s) =    22.88Mb/s       31772op/s 
Thr59     272.98M / 102.32(s) =    22.38Mb/s       31083op/s 
Thr60     329.75M / 102.32(s) =    27.03Mb/s       37548op/s 
Thr61     300.26M / 102.32(s) =    24.62Mb/s       34190op/s 
Thr62     295.03M / 102.32(s) =    24.19Mb/s       33594op/s 
Thr63     318.67M / 102.32(s) =    26.13Mb/s       36286op/s 
Thr64     327.51M / 102.32(s) =    26.85Mb/s       37293op/s 
Thr65     305.85M / 102.32(s) =    25.07Mb/s       34826op/s 
Thr66     285.35M / 102.32(s) =    23.39Mb/s       32492op/s 
Thr67     278.97M / 102.32(s) =    22.87Mb/s       31766op/s 
Thr68     327.27M / 102.32(s) =    26.83Mb/s       37265op/s 
Thr69     302.88M / 102.32(s) =    24.83Mb/s       34489op/s 
Thr70     310.46M / 102.32(s) =    25.45Mb/s       35352op/s 
Thr71     314.74M / 102.32(s) =    25.80Mb/s       35839op/s 
Thr72     291.32M / 102.32(s) =    23.88Mb/s       33172op/s 
Thr73     276.38M / 102.32(s) =    22.66Mb/s       31471op/s 
Thr74     294.87M / 102.32(s) =    24.17Mb/s       33576op/s 
Thr75     304.54M / 102.32(s) =    24.97Mb/s       34677op/s 
Thr76     301.63M / 102.32(s) =    24.73Mb/s       34345op/s 
Thr77     317.27M / 102.32(s) =    26.01Mb/s       36126op/s 
Thr78     290.98M / 102.32(s) =    23.86Mb/s       33134op/s 
Thr79     297.11M / 102.32(s) =    24.36Mb/s       33830op/s 
Thr80     296.69M / 102.32(s) =    24.32Mb/s       33784op/s 
Thr81     303.07M / 102.32(s) =    24.85Mb/s       34509op/s 
Thr82     301.98M / 102.32(s) =    24.76Mb/s       34386op/s 
Thr83     319.02M / 102.32(s) =    26.16Mb/s       36327op/s 
Thr84     286.83M / 102.32(s) =    23.52Mb/s       32661op/s 
Thr85     331.91M / 102.32(s) =    27.21Mb/s       37794op/s 
Thr86     316.95M /16849586606.40(s) =      0.16b/s           0op/s 
Thr87     298.58M / 102.32(s) =    24.48Mb/s       33999op/s 
Thr88     320.58M / 102.32(s) =    26.28Mb/s       36504op/s 
Thr89     301.78M / 102.32(s) =    24.74Mb/s       34363op/s 
Thr90     305.18M / 102.32(s) =    25.02Mb/s       34750op/s 
Thr91     291.35M / 102.32(s) =    23.89Mb/s       33176op/s 
Thr92     255.65M / 102.32(s) =    20.96Mb/s       29111op/s 
Thr93     319.53M / 102.32(s) =    26.20Mb/s       36385op/s 
Thr94     337.14M / 102.32(s) =    27.64Mb/s       38390op/s 
Thr95     246.52M / 102.32(s) =    20.21Mb/s       28071op/s 
Thr96     276.41M / 102.32(s) =    22.66Mb/s       31475op/s 
Thr97     311.66M /16849586606.40(s) =      0.16b/s           0op/s 
Thr98     262.02M / 102.32(s) =    21.48Mb/s       29836op/s 
Thr99     301.85M / 102.32(s) =    24.75Mb/s       34371op/s 
Thr100    239.19M /16849586606.40(s) =      0.12b/s           0op/s 
Thr101    329.77M / 102.32(s) =    27.04Mb/s       37551op/s 
Thr102    299.30M / 102.32(s) =    24.54Mb/s       34082op/s 
Thr103    283.77M / 102.32(s) =    23.27Mb/s       32313op/s 
Thr104    291.99M / 102.32(s) =    23.94Mb/s       33249op/s 
Thr105    293.77M / 102.32(s) =    24.09Mb/s       33452op/s 
Thr106    296.92M / 102.32(s) =    24.34Mb/s       33811op/s 
Thr107    306.12M / 102.32(s) =    25.10Mb/s       34858op/s 
Thr108    298.53M / 102.32(s) =    24.48Mb/s       33994op/s 
Thr109    297.37M / 102.32(s) =    24.38Mb/s       33862op/s 
Thr110    300.05M / 102.32(s) =    24.60Mb/s       34166op/s 
Thr111    323.84M / 102.32(s) =    26.55Mb/s       36875op/s 
Thr112    286.71M / 102.32(s) =    23.51Mb/s       32647op/s 
Thr113    316.23M / 102.32(s) =    25.93Mb/s       36009op/s 
Thr114    355.43M / 102.32(s) =    29.14Mb/s       40474op/s 
Thr115    306.80M / 102.32(s) =    25.15Mb/s       34936op/s 
Thr116    310.21M / 102.32(s) =    25.43Mb/s       35324op/s 
Thr117    283.87M / 102.32(s) =    23.27Mb/s       32325op/s 
